sleep_hours,year,month,day,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday
6.4,2015,2,19,0,0,0,0,1,0,0
7.583333333333333,2015,2,20,1,0,0,0,0,0,0
6.35,2015,2,21,0,0,1,0,0,0,0
6.5,2015,2,22,0,0,0,1,0,0,0
8.916666666666666,2015,2,23,0,1,0,0,0,0,0
6.6,2015,2,24,0,0,0,0,0,1,0
6.216666666666667,2015,2,25,0,0,0,0,0,0,1
5.283333333333333,2015,2,26,0,0,0,0,1,0,0
9.866666666666667,2015,2,27,1,0,0,0,0,0,0
5.966666666666667,2015,2,28,0,0,1,0,0,0,0
7.4,2015,3,1,0,0,0,1,0,0,0
6.083333333333333,2015,3,2,0,1,0,0,0,0,0
7.066666666666666,2015,3,3,0,0,0,0,0,1,0
6.95,2015,3,4,0,0,0,0,0,0,1
7.033333333333333,2015,3,8,0,0,0,1,0,0,0
7.433333333333334,2015,3,10,0,0,0,0,0,1,0
6.566666666666666,2015,3,11,0,0,0,0,0,0,1
6.283333333333333,2015,3,12,0,0,0,0,1,0,0
7.85,2015,3,14,0,0,1,0,0,0,0
6.566666666666666,2015,3,15,0,0,0,1,0,0,0
5.916666666666667,2015,3,16,0,1,0,0,0,0,0
9.916666666666666,2015,3,17,0,0,0,0,0,1,0
7.566666666666666,2015,3,21,0,0,1,0,0,0,0
7.9,2015,3,22,0,0,0,1,0,0,0
9.95,2015,3,26,0,0,0,0,1,0,0
7.066666666666666,2015,4,3,1,0,0,0,0,0,0
6.616666666666666,2015,4,6,0,1,0,0,0,0,0
6.95,2015,4,10,1,0,0,0,0,0,0
6.05,2015,4,16,0,0,0,0,1,0,0
8.066666666666666,2015,4,22,0,0,0,0,0,0,1
6.566666666666666,2015,4,26,0,0,0,1,0,0,0
7.05,2015,5,3,0,0,0,1,0,0,0
9.183333333333334,2015,5,4,0,1,0,0,0,0,0
3.1333333333333333,2015,5,5,0,0,0,0,0,1,0
5.933333333333334,2015,5,6,0,0,0,0,0,0,1
6.916666666666667,2015,5,9,0,0,1,0,0,0,0
6.983333333333333,2015,5,12,0,0,0,0,0,1,0
7.8,2015,5,15,1,0,0,0,0,0,0
6.116666666666666,2015,5,18,0,1,0,0,0,0,0
5.6,2015,5,19,0,0,0,0,0,1,0
6.5,2015,5,20,0,0,0,0,0,0,1
12.1,2015,5,23,0,0,1,0,0,0,0
6.283333333333333,2015,6,8,0,1,0,0,0,0,0
5.833333333333333,2015,6,9,0,0,0,0,0,1,0
10.033333333333331,2015,6,10,0,0,0,0,0,0,1
5.983333333333333,2015,7,5,0,0,0,1,0,0,0
7.05,2015,7,6,0,1,0,0,0,0,0
6.466666666666667,2015,7,7,0,0,0,0,0,1,0
6.9,2015,7,17,1,0,0,0,0,0,0
7.116666666666666,2015,7,18,0,0,1,0,0,0,0
6.366666666666666,2015,7,19,0,0,0,1,0,0,0
5.166666666666667,2015,7,20,0,1,0,0,0,0,0
7.85,2015,7,21,0,0,0,0,0,1,0
5.916666666666667,2015,7,22,0,0,0,0,0,0,1
6.916666666666667,2015,7,23,0,0,0,0,1,0,0
6.45,2015,7,24,1,0,0,0,0,0,0
7.783333333333333,2015,7,25,0,0,1,0,0,0,0
6.683333333333334,2015,7,28,0,0,0,0,0,1,0
6.85,2015,7,29,0,0,0,0,0,0,1
6.483333333333333,2015,7,30,0,0,0,0,1,0,0
6.833333333333333,2015,7,31,1,0,0,0,0,0,0
8.066666666666666,2015,8,1,0,0,1,0,0,0,0
6.05,2015,8,2,0,0,0,1,0,0,0
6.816666666666666,2015,8,3,0,1,0,0,0,0,0
7.1,2015,8,4,0,0,0,0,0,1,0
5.566666666666666,2015,8,5,0,0,0,0,0,0,1
7.25,2015,8,6,0,0,0,0,1,0,0
7.416666666666667,2015,8,7,1,0,0,0,0,0,0
